No.,ID Articulo,Codigo Fabricante,Nombre del Articulo,MEDIDAS ,Categoría,Proveedor,Ubicación,Teléfono,Contacto, Precio Compra Sin  IVA, IVA,Precio de Compra Con IVA (Neto),% a Ganar,Utilidad,Es compra Interna?,"Open Pay
(2.99% + 2.5)","IVA 
Open Pay",Comisión Tienda Nube,Total Comisiones,% Descuento En Pago Con Transferencia,Precio de Venta con IVA,,IVA a Desglozar,Precio de Vta. Sin IVA,Ganancia Real,,,,,,,,,Calcula ID,,,,,,,,,
0038,OL-MER-DUL-0038,OL-MER-DUL-0038,MERMELADA DE CHABACANO 330GR. ,,DULCES TIPICOS Y ALIMENTOS,El Huerto,UCAREO,4434101030,Yadira Mendoza Soto, $ 40 , $ 7.68 , $ 48.00 ,45.00%, $ 21.60 ,, $ 3.89 , $ 0.62 , $ 4.08 , $ 8.60 ,5.50%,$78,,$10.79,$67,$27,,,,,,,,,OL,MER,DUL,-,0038,,0,0,,38
0039,OL-MER-DUL-0039,OL-MER-DUL-0039,MERMELADA DE ZARZAMORA 330 GR ,,DULCES TIPICOS Y ALIMENTOS,El Huerto,UCAREO,4434101030,Yadira Mendoza Soto, $ 55 , $ 10.56 , $ 66.00 ,45.00%, $ 29.70 ,, $ 4.41 , $ 0.71 , $ 4.62 , $ 9.74 ,4.62%,$105,,$14.54,$91,$35,,,,,,,,,OL,MER,DUL,-,0039,,0,0,,39
0040,OL-MER-DUL-0040,OL-MER-DUL-0040,MERMELADA DE HIGO 330 GR. ,,DULCES TIPICOS Y ALIMENTOS,El Huerto,UCAREO,4434101030,Yadira Mendoza Soto, $ 40 , $ 7.68 , $ 48.00 ,45.00%, $ 21.60 ,, $ 3.89 , $ 0.62 , $ 4.08 , $ 8.60 ,5.50%,$78,,$10.79,$67,$27,,,,,,,,,OL,MER,DUL,-,0040,,0,0,,40
0041,OL-MER-DUL-0041,OL-MER-DUL-0041,MERMELADA DE ZARZAMORA CON CHILE DE 330 GR ,,DULCES TIPICOS Y ALIMENTOS,El Huerto,UCAREO,4434101030,Yadira Mendoza Soto, $ 55 , $ 10.56 , $ 66.00 ,45.00%, $ 29.70 ,, $ 4.41 , $ 0.71 , $ 4.62 , $ 9.74 ,4.62%,$105,,$14.54,$91,$35,,,,,,,,,OL,MER,DUL,-,0041,,0,0,,41
0042,OL-MER-DUL-0042,OL-MER-DUL-0042,MERMELADA DE ARANDANO DE 330 GR ,,DULCES TIPICOS Y ALIMENTOS,El Huerto,UCAREO,4434101030,Yadira Mendoza Soto, $ 55 , $ 10.56 , $ 66.00 ,45.00%, $ 29.70 ,, $ 4.41 , $ 0.71 , $ 4.62 , $ 9.74 ,4.62%,$105,,$14.54,$91,$35,,,,,,,,,OL,MER,DUL,-,0042,,0,0,,42
0043,OL-MER-DUL-0043,OL-MER-DUL-0043,MERMELADA DE DURAZNO C/ TAMARINDO DE 330 GR ,,DULCES TIPICOS Y ALIMENTOS,El Huerto,UCAREO,4434101030,Yadira Mendoza Soto, $ 40 , $ 7.68 , $ 48.00 ,45.00%, $ 21.60 ,, $ 3.89 , $ 0.62 , $ 4.08 , $ 8.60 ,5.50%,$78,,$10.79,$67,$27,,,,,,,,,OL,MER,DUL,-,0043,,0,0,,43
0044,OL-MER-DUL-0044,OL-MER-DUL-0044,MERMELADA DE PERA CIRUELA Y CHIA DE 330 GR ,,DULCES TIPICOS Y ALIMENTOS,El Huerto,UCAREO,4434101030,Yadira Mendoza Soto, $ -   , $ -  .00 , $ -   ,0.00%, $ -   ,, $ 2.50 , $ 0.40 , $ 2.66 , $ 5.56 ,50.00%,$6,,$0.77,$5,$5,,,,,,,,,OL,MER,DUL,-,0044,,0,0,,44
0045,OL-MER-DUL-0045,OL-MER-DUL-0045,MERMELADA DE COCTEL DE FRUTAS CON CHÍA DE 330 GR ,,DULCES TIPICOS Y ALIMENTOS,El Huerto,UCAREO,4434101030,Yadira Mendoza Soto, $ -   , $ -  .00 , $ -   ,0.00%, $ -   ,, $ 2.50 , $ 0.40 , $ 2.66 , $ 5.56 ,50.00%,$6,,$0.77,$5,$5,,,,,,,,,OL,MER,DUL,-,0045,,0,0,,45
0046,OL-MER-DUL-0046,OL-MER-DUL-0046,MERMELADA GUAYABA CON CHILE DE 330 GR ,,DULCES TIPICOS Y ALIMENTOS,El Huerto,UCAREO,4434101030,Yadira Mendoza Soto, $ 40 , $ 7.68 , $ 48.00 ,45.00%, $ 21.60 ,, $ 3.89 , $ 0.62 , $ 4.08 , $ 8.60 ,5.50%,$78,,$10.79,$67,$27,,,,,,,,,OL,MER,DUL,-,0046,,0,0,,46
0047,OL-MER-DUL-0047,OL-MER-DUL-0047,MERMELADA DE GUAYABA CON CHIA DE 330 GR ,,DULCES TIPICOS Y ALIMENTOS,El Huerto,UCAREO,4434101030,Yadira Mendoza Soto, $ 40 , $ 7.68 , $ 48.00 ,45.00%, $ 21.60 ,, $ 3.89 , $ 0.62 , $ 4.08 , $ 8.60 ,5.50%,$78,,$10.79,$67,$27,,,,,,,,,OL,MER,DUL,-,0047,,0,0,,47
